Collection,Variety,Twig,Total_Buds,Measurement_day,Buds_51_stage_BBCH,Chill_Portions
23/10/2020,Early_Red_2021,1,21,31/10/2020,0,0
23/10/2020,Early_Red_2021,2,14,31/10/2020,0,0
23/10/2020,Early_Red_2021,3,45,31/10/2020,0,0
23/10/2020,Regina_2021,1,35,31/10/2020,0,0
23/10/2020,Regina_2021,2,54,31/10/2020,0,0
23/10/2020,Regina_2021,3,20,31/10/2020,0,0
23/10/2020,Tamara_2021,1,27,31/10/2020,0,0
23/10/2020,Tamara_2021,2,21,31/10/2020,0,0
23/10/2020,Tamara_2021,3,28,31/10/2020,0,0
06/11/2020,Early_Red_2021,1,14,14/11/2020,0,4.190346053
06/11/2020,Early_Red_2021,2,18,14/11/2020,0,4.190346053
06/11/2020,Early_Red_2021,3,21,14/11/2020,0,4.190346053
06/11/2020,Regina_2021,1,46,14/11/2020,0,4.190346053
06/11/2020,Regina_2021,2,52,14/11/2020,0,4.190346053
06/11/2020,Regina_2021,3,25,14/11/2020,0,4.190346053
06/11/2020,Tamara_2021,1,18,14/11/2020,0,4.190346053
06/11/2020,Tamara_2021,2,12,14/11/2020,0,4.190346053
06/11/2020,Tamara_2021,3,11,14/11/2020,0,4.190346053
17/11/2020,Early_Red_2021,1,22,25/11/2020,0,11.44518471
17/11/2020,Early_Red_2021,2,14,25/11/2020,0,11.44518471
17/11/2020,Early_Red_2021,3,31,25/11/2020,0,11.44518471
17/11/2020,Regina_2021,1,27,25/11/2020,0,11.44518471
17/11/2020,Regina_2021,2,20,25/11/2020,0,11.44518471
17/11/2020,Regina_2021,3,22,25/11/2020,0,11.44518471
17/11/2020,Tamara_2021,1,14,25/11/2020,0,11.44518471
17/11/2020,Tamara_2021,2,16,25/11/2020,0,11.44518471
17/11/2020,Tamara_2021,3,13,25/11/2020,0,11.44518471
26/11/2020,Early_Red_2021,1,46,04/12/2020,0,17.55328616
26/11/2020,Early_Red_2021,2,27,04/12/2020,0,17.55328616
26/11/2020,Early_Red_2021,3,37,04/12/2020,0,17.55328616
26/11/2020,Regina_2021,1,30,04/12/2020,0,17.55328616
26/11/2020,Regina_2021,2,37,04/12/2020,0,17.55328616
26/11/2020,Regina_2021,3,34,04/12/2020,0,17.55328616
26/11/2020,Tamara_2021,1,34,04/12/2020,0,17.55328616
26/11/2020,Tamara_2021,2,39,04/12/2020,0,17.55328616
26/11/2020,Tamara_2021,3,21,04/12/2020,0,17.55328616
04/12/2020,Early_Red_2021,1,26,14/12/2020,4,24.01334376
04/12/2020,Early_Red_2021,2,50,14/12/2020,3,24.01334376
04/12/2020,Early_Red_2021,3,25,14/12/2020,3,24.01334376
04/12/2020,Early_Red_2021,4,30,14/12/2020,2,24.01334376
04/12/2020,Regina_2021,1,56,14/12/2020,0,24.01334376
04/12/2020,Regina_2021,2,38,14/12/2020,0,24.01334376
04/12/2020,Regina_2021,3,63,14/12/2020,0,24.01334376
04/12/2020,Regina_2021,4,43,14/12/2020,0,24.01334376
04/12/2020,Tamara_2021,1,40,14/12/2020,6,24.01334376
04/12/2020,Tamara_2021,2,31,14/12/2020,6,24.01334376
04/12/2020,Tamara_2021,3,28,14/12/2020,5,24.01334376
04/12/2020,Tamara_2021,4,40,14/12/2020,4,24.01334376
18/12/2020,Early_Red_2021,1,25,28/12/2020,21,34.19312821
18/12/2020,Early_Red_2021,2,24,28/12/2020,24,34.19312821
18/12/2020,Early_Red_2021,3,24,28/12/2020,20,34.19312821
18/12/2020,Early_Red_2021,4,47,28/12/2020,40,34.19312821
18/12/2020,Regina_2021,2,59,28/12/2020,6,34.19312821
18/12/2020,Regina_2021,3,15,28/12/2020,0,34.19312821
18/12/2020,Regina_2021,4,22,28/12/2020,3,34.19312821
18/12/2020,Tamara_2021,1,54,28/12/2020,18,34.19312821
18/12/2020,Tamara_2021,2,37,28/12/2020,13,34.19312821
18/12/2020,Tamara_2021,3,45,28/12/2020,18,34.19312821
18/12/2020,Tamara_2021,4,39,28/12/2020,17,34.19312821
05/01/2021,Early_Red_2021,1,55,13/01/2021,55,45.79730665
05/01/2021,Early_Red_2021,2,53,13/01/2021,53,45.79730665
05/01/2021,Early_Red_2021,3,45,13/01/2021,45,45.79730665
05/01/2021,Early_Red_2021,4,63,13/01/2021,61,45.79730665
05/01/2021,Regina_2021,1,57,13/01/2021,50,45.79730665
05/01/2021,Regina_2021,2,88,13/01/2021,23,45.79730665
05/01/2021,Regina_2021,3,57,13/01/2021,21,45.79730665
05/01/2021,Regina_2021,4,73,13/01/2021,18,45.79730665
05/01/2021,Tamara_2021,1,66,13/01/2021,20,45.79730665
05/01/2021,Tamara_2021,2,63,13/01/2021,55,45.79730665
05/01/2021,Tamara_2021,3,47,13/01/2021,37,45.79730665
05/01/2021,Tamara_2021,4,56,13/01/2021,47,45.79730665
15/01/2021,Early_Red_2021,1,59,27/01/2021,59,51.28871856
15/01/2021,Early_Red_2021,2,59,27/01/2021,59,51.28871856
15/01/2021,Early_Red_2021,3,45,27/01/2021,45,51.28871856
15/01/2021,Early_Red_2021,4,57,27/01/2021,55,51.28871856
15/01/2021,Regina_2021,1,64,27/01/2021,21,51.28871856
15/01/2021,Regina_2021,2,70,27/01/2021,33,51.28871856
15/01/2021,Regina_2021,3,42,27/01/2021,17,51.28871856
15/01/2021,Regina_2021,4,82,27/01/2021,39,51.28871856
15/01/2021,Tamara_2021,1,43,27/01/2021,29,51.28871856
15/01/2021,Tamara_2021,2,60,27/01/2021,50,51.28871856
15/01/2021,Tamara_2021,3,64,27/01/2021,61,51.28871856
15/01/2021,Tamara_2021,4,64,27/01/2021,55,51.28871856
22/01/2021,Early_Red_2021,1,74,02/02/2021,74,57.01403361
22/01/2021,Early_Red_2021,2,56,02/02/2021,56,57.01403361
22/01/2021,Early_Red_2021,3,46,02/02/2021,42,57.01403361
22/01/2021,Early_Red_2021,4,61,02/02/2021,61,57.01403361
22/01/2021,Regina_2021,1,57,02/02/2021,21,57.01403361
22/01/2021,Regina_2021,2,47,02/02/2021,34,57.01403361
22/01/2021,Regina_2021,3,39,02/02/2021,22,57.01403361
22/01/2021,Regina_2021,4,47,02/02/2021,32,57.01403361
22/01/2021,Tamara_2021,1,49,02/02/2021,49,57.01403361
22/01/2021,Tamara_2021,2,63,02/02/2021,63,57.01403361
22/01/2021,Tamara_2021,3,41,02/02/2021,41,57.01403361
22/01/2021,Tamara_2021,4,57,02/02/2021,50,57.01403361
19/02/2021,Early_Red_2021,1,45,26/02/2021,45,75.93029886
19/02/2021,Early_Red_2021,2,30,26/02/2021,29,75.93029886
19/02/2021,Early_Red_2021,3,29,26/02/2021,28,75.93029886
19/02/2021,Early_Red_2021,4,29,26/02/2021,26,75.93029886
19/02/2021,Regina_2021,1,26,26/02/2021,20,75.93029886
19/02/2021,Regina_2021,2,38,26/02/2021,38,75.93029886
19/02/2021,Regina_2021,3,33,26/02/2021,21,75.93029886
19/02/2021,Regina_2021,4,45,26/02/2021,39,75.93029886
19/02/2021,Tamara_2021,1,36,26/02/2021,26,75.93029886
19/02/2021,Tamara_2021,2,10,26/02/2021,10,75.93029886
19/02/2021,Tamara_2021,4,38,26/02/2021,29,75.93029886
26/02/2021,Early_Red_2021,1,40,08/03/2021,40,77.84197073
26/02/2021,Early_Red_2021,2,58,08/03/2021,58,77.84197073
26/02/2021,Early_Red_2021,3,51,08/03/2021,51,77.84197073
26/02/2021,Early_Red_2021,4,41,08/03/2021,41,77.84197073
26/02/2021,Regina_2021,1,33,08/03/2021,29,77.84197073
26/02/2021,Regina_2021,2,69,08/03/2021,52,77.84197073
26/02/2021,Regina_2021,3,58,08/03/2021,49,77.84197073
26/02/2021,Regina_2021,4,52,08/03/2021,46,77.84197073
26/02/2021,Tamara_2021,1,55,08/03/2021,45,77.84197073
26/02/2021,Tamara_2021,2,45,08/03/2021,42,77.84197073
26/02/2021,Tamara_2021,3,47,08/03/2021,43,77.84197073
26/02/2021,Tamara_2021,4,57,08/03/2021,53,77.84197073
08/03/2021,Early_Red_2021,1,50,15/03/2021,50,85.12902841
08/03/2021,Early_Red_2021,2,29,15/03/2021,29,85.12902841
08/03/2021,Early_Red_2021,3,72,15/03/2021,72,85.12902841
08/03/2021,Early_Red_2021,4,54,15/03/2021,54,85.12902841
08/03/2021,Regina_2021,1,64,15/03/2021,56,85.12902841
08/03/2021,Regina_2021,2,73,15/03/2021,67,85.12902841
08/03/2021,Regina_2021,3,38,15/03/2021,30,85.12902841
08/03/2021,Regina_2021,4,51,15/03/2021,51,85.12902841
08/03/2021,Tamara_2021,1,58,15/03/2021,58,85.12902841
08/03/2021,Tamara_2021,2,36,15/03/2021,36,85.12902841
08/03/2021,Tamara_2021,3,54,15/03/2021,54,85.12902841
08/03/2021,Tamara_2021,4,49,15/03/2021,49,85.12902841
19/11/2021,Early_Red_2022,1,27,29/11/2021,0,14.47305161
19/11/2021,Early_Red_2022,2,51,29/11/2021,0,14.47305161
19/11/2021,Early_Red_2022,3,34,29/11/2021,0,14.47305161
19/11/2021,Early_Red_2022,4,45,29/11/2021,0,14.47305161
19/11/2021,Early_Red_2022,5,66,29/11/2021,0,14.47305161
19/11/2021,Early_Red_2022,6,29,29/11/2021,0,14.47305161
19/11/2021,Regina_2022,1,34,29/11/2021,0,14.47305161
19/11/2021,Regina_2022,2,39,29/11/2021,0,14.47305161
19/11/2021,Regina_2022,3,34,29/11/2021,0,14.47305161
19/11/2021,Regina_2022,4,36,29/11/2021,0,14.47305161
19/11/2021,Regina_2022,5,34,29/11/2021,0,14.47305161
19/11/2021,Regina_2022,6,53,29/11/2021,0,14.47305161
19/11/2021,Tamara_2022,1,45,29/11/2021,0,14.47305161
19/11/2021,Tamara_2022,2,51,29/11/2021,0,14.47305161
19/11/2021,Tamara_2022,3,39,29/11/2021,0,14.47305161
19/11/2021,Tamara_2022,4,39,29/11/2021,0,14.47305161
19/11/2021,Tamara_2022,5,16,29/11/2021,0,14.47305161
19/11/2021,Tamara_2022,6,74,29/11/2021,0,14.47305161
26/11/2021,Early_Red_2022,1,31,06/12/2021,0,20.03577536
26/11/2021,Early_Red_2022,2,29,06/12/2021,0,20.03577536
26/11/2021,Early_Red_2022,3,37,06/12/2021,0,20.03577536
26/11/2021,Early_Red_2022,4,77,06/12/2021,0,20.03577536
26/11/2021,Early_Red_2022,5,38,06/12/2021,0,20.03577536
26/11/2021,Early_Red_2022,6,21,06/12/2021,0,20.03577536
26/11/2021,Regina_2022,1,39,06/12/2021,0,20.03577536
26/11/2021,Regina_2022,2,51,06/12/2021,0,20.03577536
26/11/2021,Regina_2022,3,50,06/12/2021,0,20.03577536
26/11/2021,Regina_2022,4,57,06/12/2021,0,20.03577536
26/11/2021,Regina_2022,5,60,06/12/2021,0,20.03577536
26/11/2021,Regina_2022,6,32,06/12/2021,0,20.03577536
26/11/2021,Tamara_2022,1,37,06/12/2021,0,20.03577536
26/11/2021,Tamara_2022,2,33,06/12/2021,0,20.03577536
26/11/2021,Tamara_2022,3,49,06/12/2021,0,20.03577536
26/11/2021,Tamara_2022,4,37,06/12/2021,0,20.03577536
26/11/2021,Tamara_2022,5,43,06/12/2021,0,20.03577536
26/11/2021,Tamara_2022,6,56,06/12/2021,0,20.03577536
03/12/2021,Early_Red_2022,1,40,13/12/2021,0,24.71630143
03/12/2021,Early_Red_2022,2,53,13/12/2021,0,24.71630143
03/12/2021,Early_Red_2022,3,28,13/12/2021,0,24.71630143
03/12/2021,Early_Red_2022,4,48,13/12/2021,0,24.71630143
03/12/2021,Early_Red_2022,5,35,13/12/2021,0,24.71630143
03/12/2021,Early_Red_2022,6,53,13/12/2021,0,24.71630143
03/12/2021,Regina_2022,1,65,13/12/2021,0,24.71630143
03/12/2021,Regina_2022,2,52,13/12/2021,0,24.71630143
03/12/2021,Regina_2022,3,44,13/12/2021,0,24.71630143
03/12/2021,Regina_2022,4,53,13/12/2021,0,24.71630143
03/12/2021,Regina_2022,5,56,13/12/2021,0,24.71630143
03/12/2021,Regina_2022,6,28,13/12/2021,0,24.71630143
03/12/2021,Tamara_2022,1,54,13/12/2021,0,24.71630143
03/12/2021,Tamara_2022,2,56,13/12/2021,0,24.71630143
03/12/2021,Tamara_2022,3,48,13/12/2021,0,24.71630143
03/12/2021,Tamara_2022,4,69,13/12/2021,0,24.71630143
03/12/2021,Tamara_2022,5,54,13/12/2021,0,24.71630143
03/12/2021,Tamara_2022,6,54,13/12/2021,0,24.71630143
10/12/2021,Early_Red_2022,1,45,20/12/2021,0,29.69394407
10/12/2021,Early_Red_2022,2,47,20/12/2021,0,29.69394407
10/12/2021,Early_Red_2022,3,36,20/12/2021,0,29.69394407
10/12/2021,Early_Red_2022,4,51,20/12/2021,0,29.69394407
10/12/2021,Early_Red_2022,5,46,20/12/2021,0,29.69394407
10/12/2021,Early_Red_2022,6,53,20/12/2021,0,29.69394407
10/12/2021,Regina_2022,1,23,20/12/2021,0,29.69394407
10/12/2021,Regina_2022,2,42,20/12/2021,0,29.69394407
10/12/2021,Regina_2022,3,50,20/12/2021,0,29.69394407
10/12/2021,Regina_2022,4,44,20/12/2021,0,29.69394407
10/12/2021,Regina_2022,5,39,20/12/2021,0,29.69394407
10/12/2021,Regina_2022,6,50,20/12/2021,0,29.69394407
10/12/2021,Tamara_2022,1,98,20/12/2021,0,29.69394407
10/12/2021,Tamara_2022,2,65,20/12/2021,0,29.69394407
10/12/2021,Tamara_2022,3,65,20/12/2021,0,29.69394407
10/12/2021,Tamara_2022,4,55,20/12/2021,0,29.69394407
10/12/2021,Tamara_2022,5,55,20/12/2021,0,29.69394407
10/12/2021,Tamara_2022,6,53,20/12/2021,0,29.69394407
17/12/2021,Early_Red_2022,1,53,27/12/2021,0,36.04674572
17/12/2021,Early_Red_2022,2,49,27/12/2021,0,36.04674572
17/12/2021,Early_Red_2022,3,51,27/12/2021,0,36.04674572
17/12/2021,Early_Red_2022,4,42,27/12/2021,0,36.04674572
17/12/2021,Early_Red_2022,5,30,27/12/2021,0,36.04674572
17/12/2021,Early_Red_2022,6,45,27/12/2021,0,36.04674572
17/12/2021,Regina_2022,1,33,27/12/2021,0,36.04674572
17/12/2021,Regina_2022,2,42,27/12/2021,0,36.04674572
17/12/2021,Regina_2022,3,39,27/12/2021,0,36.04674572
17/12/2021,Regina_2022,4,53,27/12/2021,0,36.04674572
17/12/2021,Regina_2022,5,43,27/12/2021,0,36.04674572
17/12/2021,Regina_2022,6,58,27/12/2021,0,36.04674572
17/12/2021,Tamara_2022,1,73,27/12/2021,0,36.04674572
17/12/2021,Tamara_2022,2,54,27/12/2021,0,36.04674572
17/12/2021,Tamara_2022,3,54,27/12/2021,0,36.04674572
17/12/2021,Tamara_2022,4,72,27/12/2021,0,36.04674572
17/12/2021,Tamara_2022,5,45,27/12/2021,0,36.04674572
17/12/2021,Tamara_2022,6,49,27/12/2021,0,36.04674572
24/12/2021,Early_Red_2022,1,41,03/12/2021,39,41.04012408
24/12/2021,Early_Red_2022,2,45,03/12/2021,40,41.04012408
24/12/2021,Early_Red_2022,3,37,03/12/2021,32,41.04012408
24/12/2021,Early_Red_2022,4,34,03/12/2021,32,41.04012408
24/12/2021,Early_Red_2022,5,33,03/12/2021,31,41.04012408
24/12/2021,Early_Red_2022,6,37,03/12/2021,22,41.04012408
24/12/2021,Regina_2022,1,76,03/12/2021,0,41.04012408
24/12/2021,Regina_2022,2,39,03/12/2021,0,41.04012408
24/12/2021,Regina_2022,3,13,03/12/2021,0,41.04012408
24/12/2021,Regina_2022,4,13,03/12/2021,0,41.04012408
24/12/2021,Regina_2022,5,49,03/12/2021,0,41.04012408
24/12/2021,Regina_2022,6,47,03/12/2021,0,41.04012408
24/12/2021,Tamara_2022,1,43,03/12/2021,42,41.04012408
24/12/2021,Tamara_2022,2,34,03/12/2021,19,41.04012408
24/12/2021,Tamara_2022,3,42,03/12/2021,17,41.04012408
24/12/2021,Tamara_2022,4,37,03/12/2021,9,41.04012408
24/12/2021,Tamara_2022,5,39,03/12/2021,6,41.04012408
24/12/2021,Tamara_2022,6,55,03/12/2021,10,41.04012408
30/12/2021,Early_Red_2022,1,34,10/01/2022,34,44.22485062
30/12/2021,Early_Red_2022,2,44,10/01/2022,42,44.22485062
30/12/2021,Early_Red_2022,3,67,10/01/2022,67,44.22485062
30/12/2021,Early_Red_2022,4,38,10/01/2022,38,44.22485062
30/12/2021,Early_Red_2022,5,31,10/01/2022,31,44.22485062
30/12/2021,Early_Red_2022,6,46,10/01/2022,46,44.22485062
30/12/2021,Regina_2022,1,64,10/01/2022,0,44.22485062
30/12/2021,Regina_2022,2,75,10/01/2022,0,44.22485062
30/12/2021,Regina_2022,3,74,10/01/2022,0,44.22485062
30/12/2021,Regina_2022,4,35,10/01/2022,0,44.22485062
30/12/2021,Regina_2022,5,35,10/01/2022,0,44.22485062
30/12/2021,Regina_2022,6,44,10/01/2022,0,44.22485062
30/12/2021,Tamara_2022,1,82,10/01/2022,47,44.22485062
30/12/2021,Tamara_2022,2,50,10/01/2022,41,44.22485062
30/12/2021,Tamara_2022,3,61,10/01/2022,41,44.22485062
30/12/2021,Tamara_2022,4,41,10/01/2022,32,44.22485062
30/12/2021,Tamara_2022,5,35,10/01/2022,17,44.22485062
30/12/2021,Tamara_2022,6,32,10/01/2022,11,44.22485062
07/01/2022,Early_Red_2022,1,38,17/01/2022,37,49.35320249
07/01/2022,Early_Red_2022,2,39,17/01/2022,29,49.35320249
07/01/2022,Early_Red_2022,3,32,17/01/2022,29,49.35320249
07/01/2022,Early_Red_2022,4,36,17/01/2022,32,49.35320249
07/01/2022,Early_Red_2022,5,46,17/01/2022,8,49.35320249
07/01/2022,Early_Red_2022,6,20,17/01/2022,10,49.35320249
07/01/2022,Regina_2022,1,36,17/01/2022,0,49.35320249
07/01/2022,Regina_2022,2,34,17/01/2022,0,49.35320249
07/01/2022,Regina_2022,3,32,17/01/2022,0,49.35320249
07/01/2022,Regina_2022,4,44,17/01/2022,0,49.35320249
07/01/2022,Regina_2022,5,26,17/01/2022,0,49.35320249
07/01/2022,Regina_2022,6,49,17/01/2022,0,49.35320249
07/01/2022,Tamara_2022,1,76,17/01/2022,17,49.35320249
07/01/2022,Tamara_2022,2,41,17/01/2022,6,49.35320249
07/01/2022,Tamara_2022,3,55,17/01/2022,22,49.35320249
07/01/2022,Tamara_2022,4,77,17/01/2022,11,49.35320249
07/01/2022,Tamara_2022,5,40,17/01/2022,7,49.35320249
07/01/2022,Tamara_2022,6,36,17/01/2022,1,49.35320249
14/01/2022,Early_Red_2022,1,26,24/01/2022,26,54.13869038
14/01/2022,Early_Red_2022,2,32,24/01/2022,32,54.13869038
14/01/2022,Early_Red_2022,3,27,24/01/2022,27,54.13869038
14/01/2022,Early_Red_2022,4,27,24/01/2022,27,54.13869038
14/01/2022,Early_Red_2022,5,24,24/01/2022,24,54.13869038
14/01/2022,Early_Red_2022,6,49,24/01/2022,49,54.13869038
14/01/2022,Regina_2022,1,44,24/01/2022,0,54.13869038
14/01/2022,Regina_2022,2,42,24/01/2022,0,54.13869038
14/01/2022,Regina_2022,3,22,24/01/2022,0,54.13869038
14/01/2022,Regina_2022,4,38,24/01/2022,0,54.13869038
14/01/2022,Regina_2022,5,32,24/01/2022,0,54.13869038
14/01/2022,Regina_2022,6,40,24/01/2022,0,54.13869038
14/01/2022,Tamara_2022,1,50,24/01/2022,21,54.13869038
14/01/2022,Tamara_2022,2,50,24/01/2022,13,54.13869038
14/01/2022,Tamara_2022,3,52,24/01/2022,43,54.13869038
14/01/2022,Tamara_2022,4,63,24/01/2022,27,54.13869038
14/01/2022,Tamara_2022,5,34,24/01/2022,25,54.13869038
14/01/2022,Tamara_2022,6,52,24/01/2022,12,54.13869038
21/01/2022,Early_Red_2022,1,42,31/01/2022,37,59.4411541
21/01/2022,Early_Red_2022,2,30,31/01/2022,26,59.4411541
21/01/2022,Early_Red_2022,3,24,31/01/2022,19,59.4411541
21/01/2022,Early_Red_2022,4,64,31/01/2022,64,59.4411541
21/01/2022,Early_Red_2022,5,57,31/01/2022,47,59.4411541
21/01/2022,Early_Red_2022,6,46,31/01/2022,39,59.4411541
21/01/2022,Regina_2022,1,34,31/01/2022,0,59.4411541
21/01/2022,Regina_2022,2,52,31/01/2022,0,59.4411541
21/01/2022,Regina_2022,3,25,31/01/2022,0,59.4411541
21/01/2022,Regina_2022,4,34,31/01/2022,0,59.4411541
21/01/2022,Regina_2022,5,43,31/01/2022,0,59.4411541
21/01/2022,Regina_2022,6,41,31/01/2022,0,59.4411541
21/01/2022,Tamara_2022,1,34,31/01/2022,20,59.4411541
21/01/2022,Tamara_2022,2,40,31/01/2022,15,59.4411541
21/01/2022,Tamara_2022,3,69,31/01/2022,55,59.4411541
21/01/2022,Tamara_2022,4,40,31/01/2022,30,59.4411541
21/01/2022,Tamara_2022,5,59,31/01/2022,56,59.4411541
21/01/2022,Tamara_2022,6,60,31/01/2022,51,59.4411541
28/01/2022,Early_Red_2022,1,33,07/02/2022,25,64.04583134
28/01/2022,Early_Red_2022,2,20,07/02/2022,8,64.04583134
28/01/2022,Early_Red_2022,3,24,07/02/2022,24,64.04583134
28/01/2022,Early_Red_2022,4,26,07/02/2022,18,64.04583134
28/01/2022,Early_Red_2022,5,26,07/02/2022,23,64.04583134
28/01/2022,Early_Red_2022,6,48,07/02/2022,35,64.04583134
28/01/2022,Regina_2022,1,23,07/02/2022,0,64.04583134
28/01/2022,Regina_2022,2,25,07/02/2022,0,64.04583134
28/01/2022,Regina_2022,3,38,07/02/2022,0,64.04583134
28/01/2022,Regina_2022,4,18,07/02/2022,0,64.04583134
28/01/2022,Regina_2022,5,27,07/02/2022,0,64.04583134
28/01/2022,Regina_2022,6,33,07/02/2022,0,64.04583134
28/01/2022,Tamara_2022,1,58,07/02/2022,19,64.04583134
28/01/2022,Tamara_2022,2,54,07/02/2022,20,64.04583134
28/01/2022,Tamara_2022,3,46,07/02/2022,24,64.04583134
28/01/2022,Tamara_2022,4,44,07/02/2022,11,64.04583134
28/01/2022,Tamara_2022,5,46,07/02/2022,21,64.04583134
28/01/2022,Tamara_2022,6,37,07/02/2022,10,64.04583134
04/02/2022,Early_Red_2022,1,24,14/02/2022,23,70.42790554
04/02/2022,Early_Red_2022,2,33,14/02/2022,33,70.42790554
04/02/2022,Early_Red_2022,3,36,14/02/2022,31,70.42790554
04/02/2022,Early_Red_2022,4,26,14/02/2022,26,70.42790554
04/02/2022,Early_Red_2022,5,44,14/02/2022,44,70.42790554
04/02/2022,Early_Red_2022,6,48,14/02/2022,34,70.42790554
04/02/2022,Regina_2022,1,55,14/02/2022,2,70.42790554
04/02/2022,Regina_2022,2,54,14/02/2022,3,70.42790554
04/02/2022,Regina_2022,3,36,14/02/2022,10,70.42790554
04/02/2022,Regina_2022,4,53,14/02/2022,4,70.42790554
04/02/2022,Regina_2022,5,42,14/02/2022,19,70.42790554
04/02/2022,Regina_2022,6,55,14/02/2022,2,70.42790554
04/02/2022,Tamara_2022,1,33,14/02/2022,33,70.42790554
04/02/2022,Tamara_2022,2,46,14/02/2022,20,70.42790554
04/02/2022,Tamara_2022,3,35,14/02/2022,32,70.42790554
04/02/2022,Tamara_2022,4,59,14/02/2022,56,70.42790554
04/02/2022,Tamara_2022,5,41,14/02/2022,36,70.42790554
04/02/2022,Tamara_2022,6,53,14/02/2022,20,70.42790554
11/02/2022,Early_Red_2022,1,52,21/02/2022,51,75.28048306
11/02/2022,Early_Red_2022,2,62,21/02/2022,42,75.28048306
11/02/2022,Early_Red_2022,3,38,21/02/2022,38,75.28048306
11/02/2022,Early_Red_2022,4,46,21/02/2022,44,75.28048306
11/02/2022,Early_Red_2022,5,31,21/02/2022,27,75.28048306
11/02/2022,Early_Red_2022,6,37,21/02/2022,32,75.28048306
11/02/2022,Regina_2022,1,65,21/02/2022,25,75.28048306
11/02/2022,Regina_2022,2,34,21/02/2022,10,75.28048306
11/02/2022,Regina_2022,3,42,21/02/2022,17,75.28048306
11/02/2022,Regina_2022,4,60,21/02/2022,32,75.28048306
11/02/2022,Regina_2022,5,39,21/02/2022,24,75.28048306
11/02/2022,Regina_2022,6,56,21/02/2022,10,75.28048306
11/02/2022,Tamara_2022,1,30,21/02/2022,30,75.28048306
11/02/2022,Tamara_2022,2,35,21/02/2022,33,75.28048306
11/02/2022,Tamara_2022,3,50,21/02/2022,43,75.28048306
11/02/2022,Tamara_2022,4,44,21/02/2022,40,75.28048306
11/02/2022,Tamara_2022,5,26,21/02/2022,23,75.28048306
11/02/2022,Tamara_2022,6,30,21/02/2022,30,75.28048306
18/02/2022,Regina_2022,1,44,28/02/2022,39,81.08154364
18/02/2022,Regina_2022,2,51,28/02/2022,38,81.08154364
18/02/2022,Regina_2022,3,54,28/02/2022,42,81.08154364
18/02/2022,Regina_2022,4,77,28/02/2022,69,81.08154364
18/02/2022,Regina_2022,5,48,28/02/2022,38,81.08154364
18/02/2022,Regina_2022,6,52,28/02/2022,20,81.08154364
18/02/2022,Tamara_2022,1,32,28/02/2022,32,81.08154364
18/02/2022,Tamara_2022,2,43,28/02/2022,43,81.08154364
18/02/2022,Tamara_2022,3,33,28/02/2022,27,81.08154364
18/02/2022,Tamara_2022,4,72,28/02/2022,61,81.08154364
18/02/2022,Tamara_2022,5,65,28/02/2022,55,81.08154364
18/02/2022,Tamara_2022,6,46,28/02/2022,36,81.08154364
25/02/2022,Regina_2022,1,56,07/03/2022,50,86.34609612
25/02/2022,Regina_2022,2,57,07/03/2022,55,86.34609612
25/02/2022,Regina_2022,3,51,07/03/2022,46,86.34609612
25/02/2022,Regina_2022,4,51,07/03/2022,44,86.34609612
25/02/2022,Regina_2022,5,37,07/03/2022,26,86.34609612
25/02/2022,Regina_2022,6,44,07/03/2022,28,86.34609612
04/03/2022,Regina_2022,1,61,14/03/2022,56,91.07285426
04/03/2022,Regina_2022,2,63,14/03/2022,56,91.07285426
04/03/2022,Regina_2022,3,45,14/03/2022,44,91.07285426
04/03/2022,Regina_2022,4,40,14/03/2022,38,91.07285426
04/03/2022,Regina_2022,5,36,14/03/2022,33,91.07285426
04/03/2022,Regina_2022,6,50,14/03/2022,39,91.07285426
